NAME,NTEE_CD,Category,Location,lat_lon
VALLEY REGIONAL HOSPITAL INC,E22Z,E,"243 ELM ST, CLAREMONT, NH, 03743-4921","(-72.34121470442018, 43.384774050000004)"
COLBY-SAWYER COLLEGE,B420,B,"541 MAIN ST, NEW LONDON, NH, 03257-7818","(-71.9780266, 43.4118796)"
COMMUNITY COUNCIL OF NASHUA N H INC,F32Z,F,"100 W PEARL ST, NASHUA, NH, 03060-3343","(-71.46620731001497, 42.759697450000004)"
GRANITE VNA INC,E92Z,E,"30 PILLSBURY ST, CONCORD, NH, 03301-3502","(-71.534061, 43.191865)"
CAPITAL REGION HEALTH CARE CORP,E21Z,E,"250 PLEASANT ST, CONCORD, NH, 03301-7559","(-71.56335907061613, 43.2001803)"
EXETER HEALTH RESOURCES,E210,E,"5 ALUMNI DR, EXETER, NH, 03833-2128","(-70.93464772835243, 42.98360537179622)"
FMH WIND-DOWN COMPANY,E220,E,"133 BROCK ST, ROCHESTER, NH, 03867-4404","(-70.9822384626292, 43.29179005)"
GOOD CHEER SOCIETY INC,E92Z,E,"7 EXECUTIVE PARK DR, MERRIMACK, NH, 03054-4058","(-71.49692371428571, 42.843256)"
GORDON-NASH LIBRARY,B700,B,"69 MAIN ST, NEW HAMPTON, NH, 03256-4206","(-71.652959, 43.605479)"
HIGH MOWING SCHOOL INC,B25Z,B,"222 ISAAC FRYE HWY, WILTON, NH, 03086-5813","(-71.75458605959666, 42.81758439619936)"
HITCHCOCK FOUNDATION,H120,H,"1 MEDICAL CENTER DR, LEBANON, NH, 03756-1000","(-72.27010183310576, 43.67568425)"
MARY HITCHCOCK MEMORIAL HOSPITAL,E220,E,"1 MEDICAL CENTER DR, LEBANON, NH, 03756-1000","(-72.27010183310576, 43.67568425)"
HGRL,E20,E,"80 HIGHLAND ST, LACONIA, NH, 03246-3235","(-71.4639046, 43.5280048)"
LITTLETON HOSPITAL ASSOCIATION,E220,E,"600 SAINT JOHNSBURY RD, LITTLETON, NH, 03561-3442","(-71.82570976020602, 44.3177264)"
NEW HAMPSHIRE MASONICARE,P750,P,"813 BEECH ST, MANCHESTER, NH, 03104-3136","(-71.45703485464684, 43.003530649648866)"
MEMORIAL HOSPITAL,E220,E,"3073 WHITE MOUNTAIN HWY, NORTH CONWAY, NH, 03860-7101","(-71.13692186979223, 44.061387249999996)"
MONADNOCK COMMUNITY HOSPITAL,E220,E,"452 OLD STREET RD, PETERBOROUGH, NH, 03458-1263","(-71.93981593495846, 42.8933583)"
NASHUA CHILDRENS HOME,P70Z,P,"125 AMHERST ST, NASHUA, NH, 03064-2043","(-71.48199511497855, 42.7715223)"
WAYPOINT,P200,P,"464 CHESTNUT ST, MANCHESTER, NH, 03101-1804","(-71.460761, 42.993468)"
PHILLIPS EXETER ACADEMY,B250,B,"20 MAIN ST, EXETER, NH, 03833-2438","(-70.95163292040665, 42.98139296533308)"
ST JOSEPH HOSPITAL OF NASHUA NH,E220,E,"172 KINSLEY ST, NASHUA, NH, 03060-3648","(-71.48019653340988, 42.749222950000004)"
ST PAULS SCHOOL,B250,B,"325 PLEASANT ST, CONCORD, NH, 03301-2552","(-71.5792319, 43.1927955)"
SANBORN SEMINARY,B58Z,B,"75 ROUTE 125, KINGSTON, NH, 03848-3525","(-71.0446385, 42.9303629)"
SOCIETY FOR THE PROTECTION OF NEW HAMPSHIRE FORESTS,C360,C,"54 PORTSMOUTH ST, CONCORD, NH, 03301-5486","(-71.52765577854966, 43.23459174212481)"
TILTON SCHOOL,B250,B,"30 SCHOOL ST, TILTON, NH, 03276-5750","(-71.58859851739959, 43.44414756073986)"
KEENE YOUNG MENS CHRISTIAN ASSOCIATION,P27Z,P,"200 SUMMIT RD, KEENE, NH, 03431-1760","(-72.32629386683722, 42.95006387749886)"
YOUNG MENS CHRISTIAN ASSOCIATION OF GREATER NASHUA,P27Z,P,"6 HENRY CLAY DR, MERRIMACK, NH, 03054-4833","(-71.48307898043652, 42.80508925)"
ALICE PECK DAY MEMORIAL HOSPITAL,E220,E,"10 ALICE PECK DAY DR, LEBANON, NH, 03766-2900","(-72.26471880058631, 43.64155715)"
BREWSTER ACADEMY,B250,B,"80 ACADEMY DR, WOLFEBORO, NH, 03894-4115","(-71.2074455, 43.5823751)"
CURRIER MUSEUM OF ART,A510,A,"150 ASH ST, MANCHESTER, NH, 03104-4380","(-71.45560701301042, 42.9977038)"
HUGGINS HOSPITAL,E220,E,"240 S MAIN ST, WOLFEBORO, NH, 03894-4411","(-71.20098581894104, 43.5815439)"
WEBSTER HOUSE,P730,P,"135 WEBSTER ST, MANCHESTER, NH, 03104-2511","(-71.45816421895876, 43.006744)"
PINKERTON ACADEMY,B250,B,"19 N MAIN ST, DERRY, NH, 03038-1208","(-71.31401023492714, 42.8957672)"
