NAME,NTEE_CD,Category,Location,lat_lon
IGLESIA EVANGELICA CRISTIANA ESPIRITUAL,X21,X,"1522 PLASTICO AVE SW, WYOMING, MI, 49509-1157","(-85.69081720205271, 42.93631669764453)"
FRIENDS OF THE FRASER PUBLIC LIBRARY,B99,B,"16931 N GARDENIA DR, FRASER, MI, 48026-3534","(-82.95296055420579, 42.54958932554361)"
NORTH BROTHERS CHARITABLE ORGANIZATION,T70,T,"33300 FORD RD, WESTLAND, MI, 48185-3088","(-83.36870282210118, 42.32496003088124)"
EXETER HISTORICAL SOCIETY,A80,A,"6158 SCOFIELD RD, MAYBEE, MI, 48159-9646","(-83.4837399554093, 42.0216774)"
HARRIET TUBMAN CENTER,B90,B,"19972 SHREWSBURY RD, DETROIT, MI, 48221-1855","(-83.13910476084514, 42.43993043264108)"
DEVELOPING KINGDOMS IN DIFFERENT STAGES,O99,O,"28290 TAVISTOCK TRL, SOUTHFIELD, MI, 48034-5181","(-83.2679333059843, 42.495991033726206)"
DIVINE WORSHIP MINISTRIES,X20,X,"20910 SECLUDED LN, SOUTHFIELD, MI, 48075-7561","(-83.24916819153778, 42.44985765045537)"
LIFE CHALLENGE OF MICHIGAN,P28,P,"3380 BECK RD, HILLSDALE, MI, 49242-9406","(-84.65855741260822, 41.94664858627112)"
HOUSE OF FAITH,X20,X,"2485 ROWLEY RD, WILLIAMSTON, MI, 48895-9134","(-84.2681207, 42.693808)"
KOREAN CHURCH OF SAGINAW,X20,X,"3879 KOCHVILLE RD, SAGINAW, MI, 48604-9226","(-83.99068768404838, 43.49403979109733)"
HOLLAND POLICE OFFICERS ASSOCIATION,J40,J,"89 W 8TH ST, HOLLAND, MI, 49423-3103","(-86.1114314683614, 42.79060415)"
NATIONAL ASPARAGUS FESTIVAL,N52,N,"16 S STATE ST, HART, MI, 49420-1123","(-86.3636703, 43.7008083)"
WOMEN IN AVIATION INTERNATIONAL,B99,B,"51109 GLEN HOLLOW AVE, CANTON, MI, 48188-3487","(-83.54380145026504, 42.30152988244447)"
YOUNG FATHERS STANDING UNITED,P40,P,"19984 COUNTRY CLUB DR, HARPER WOODS, MI, 48225-1622","(-82.92850661073825, 42.44292259731544)"
GOLFVIEW MANOR CIVIC ASSOCIATION,S20,S,"26907 CLAIRVIEW DR, DEARBORN HTS, MI, 48127-1674","(-83.30630066708625, 42.34680082722437)"
PAGAZA EDUCATIONAL TRUST,B82,B,"1065 WHITTIER DR, CANTON, MI, 48187-5015","(-83.47861032239157, 42.3133898737862)"
FRIENDSHIP CENTER INC,F32,F,"155 S MONROE ST, COLDWATER, MI, 49036-1963","(-85.00354727272727, 41.93671963636364)"
YOUTH FOR UNDERSTANDING USA INC,Q21,Q,"3995 FASHION SQUARE BLVD, SAGINAW, MI, 48603-1291","(-83.96956685714285, 43.46512114285714)"
CITY OF FAITH MINISTRIES,X20,X,"31242 ECORSE RD, ROMULUS, MI, 48174-3536","(-83.34634333026784, 42.252974755052335)"
CAT TALES RESCUE,D20,D,"215 FARR RD, NORTON SHORES, MI, 49444-9787","(-86.24018607228915, 43.13994455421687)"
BULLDOG AQUATIC CLUB,N67,N,"16882 CARRIAGE WAY, NORTHVILLE, MI, 48168-6600","(-83.53533537580505, 42.4021208083857)"
WASHTENAW HEALTH PLAN CORPORATION,E31,E,"555 TOWNER ST, YPSILANTI, MI, 48198-5723","(-83.60081239970309, 42.23985265)"
CAREFIRST COMMUNITY HEALTH SERVICES,B99,B,"8097 DECATUR ST, DETROIT, MI, 48228-2721","(-83.1797917008547, 42.35389472649573)"
SCOTCH ELEMENTARY SCHOOL PARENT- TEACHER ORGANIAZTION,B94,B,"5959 COMMERCE ROAD, WEST BLOOMFIELD, MI, 48324-3293","(-83.4012463, 42.5884127)"
MICHIGAN STATE UNIVERSITY,O52,O,"21885 DUNHAM ROAD, CLINTON TOWNSHIP, MI, 48036-1030","(-82.89501819191919, 42.61776325252525)"
NEXTENERGY CENTER,C35,C,"461 BURROUGHS ST, DETROIT, MI, 48202-3419","(-83.07325194320552, 42.36416535)"
SCARLETT PTSO,B94,B,"330 LORRAINE ST, ANN ARBOR, MI, 48108-0000","(-83.6957821, 42.2382977)"
SELFRIDGE CHIEF PETTY OFFICER ASSOCIATION,W30,W,"70415 CANTERBURY DR, RICHMOND, MI, 48062-1083","(-82.75269134256907, 42.820703890539185)"
MICHIGAN STATE UNIVERSITY,O52,O,"20 CARE DRIVE, HILLSDALE, MI, 49242-5052","(-84.64287412499999, 41.9293504375)"
ELMIRA L RHEIN FOUNDATION,T22,T,"1138 E BIG BEAVER RD, TROY, MI, 48083-1934","(-83.115697, 42.5632413)"
ARAMAIC BROADCASTING NETWORK INC,X84,X,"18911 W 10 MILE RD, SOUTHFIELD, MI, 48075-2638","(-83.22995332885905, 42.4730962147651)"
DETROIT HOUSING GROUP,B90,B,"4020 GLENDALE ST, DETROIT, MI, 48238-3210","(-83.198143, 42.382473)"
YOUNG LEGENDS,O50,O,"11040 GABRIEL ST, ROMULUS, MI, 48174-1429","(-83.38673571717172, 42.22252964646465)"
CHRISTIAN NEW LIFE OUTREACH MINISTRIES,X21,X,"14474 FAIRMOUNT DR, DETROIT, MI, 48205-1274","(-82.9742148245614, 42.44419685964912)"
