NAME,NTEE_CD,Category,Location,lat_lon
PATHWAY CHURCH,X21,X,"6523 MERLE HAY RD, JOHNSTON, IA, 50131-1232","(-93.69686853664055, 41.68012)"
DAMA INTERNATIONAL IOWA CHAPTER,S41,S,"121 SW STATE ST, ANKENY, IA, 50023-2511","(-93.62135838168568, 41.73153908070962)"
THE AGRILAND FS FOUNDATION,B21,B,"421 N 10TH ST, WINTERSET, IA, 50273-1365","(-94.00292918367347, 41.33795485714286)"
CHEROKEE VOLUNTEER FIRE DEPARTMENT FOUNDATION,M24,M,"300 W ELM ST, CHEROKEE, IA, 51012-1809","(-95.552951, 42.747516)"
TRUE VINE CHURCH OF GOD IN CHRIST,X20,X,"1431 E 32ND ST, DES MOINES, IA, 50317-6661","(-93.55520222448979, 41.60540626530612)"
FAIRMOUNT EDUCATION INC,B20,B,"3720 E-29TH ST, DES MOINES, IA, 50317-0000","(-93.56132427173912, 41.6289575)"
NEW BEGINNINGS MINISTRY,X21,X,"1122 SCOTT ST, DAVENPORT, IA, 52803-4949","(-90.58000460000001, 41.531787466666664)"
COMMUNITY DREAMS INCORPORATED,P20,P,"504 W UNION ST, EDGEWOOD, IA, 52042-8156","(-91.40644122621886, 42.64433001140494)"
WATERLOO 290 CHARITIES FOR VETERANS AND YOUTH PROGRAMS INC,S80,S,"242 TOWER PARK DR, WATERLOO, IA, 50701-9002","(-92.3735494, 42.4567136)"
SOUTHEAST IOWA AVIATION PROMOTION ORGANIZATION,P20,P,"12128, WEST BURLINGTON, IA, 52655-0000","(-91.1565496, 40.825083)"
SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC,I70,I,"2025 IRVINGTON RD, ALGONA, IA, 50511-7171","(-94.22256289924323, 43.05958131856619)"
AVAD INC,N50,N,"26321 HIGHWAY 141, COON RAPIDS, IA, 50058-7020","(-94.7770237, 41.878458)"
OSKALOOSA ELEMENTARY PTO,B94,B,"1801 ORCHARD AVE, OSKALOOSA, IA, 52577-9521","(-92.6638638, 41.3052865)"
CORNERSTONE OF HOPE INC,L990,L,"9809 SKYLINE CIR, JOHNSTON, IA, 50131-2720","(-93.75365656131078, 41.685715099999996)"
MAHASKA COUNTY HUMANE SOCIETY,D20,D,"310 O AVE E, OSKALOOSA, IA, 52577-1838","(-92.6427282644647, 41.30733920461668)"
CLARKE COUNTY OLD IRON INC,A500,A,"1018 GRANDVIEW DR, OSCEOLA, IA, 50213-1658","(-93.7668419, 41.0219981)"
TEAM STORM,U30,U,"306 GILBERT ST, MUSCATINE, IA, 52761-1925","(-91.06728859734515, 41.41350443407011)"
GILBERT COMMUNITY HISTORICAL SOCIETY,P99,P,"209 MAIN ST, GILBERT, IA, 50105-7706","(-93.64957836363637, 42.107381000000004)"
