NAME,NTEE_CD,Category,Location,lat_lon
BRATTLEBORO MUTUAL AID ASSOCIATION INC,E910,E,"80 MAPLE ST, BRATTLEBORO, VT, 05301-6551","(-72.56626101945105, 42.844477060695475)"
GARDEN PATH ELDER LIVING INC,P70,P,"158 WESTERN AVE, BRATTLEBORO, VT, 05301-6089","(-72.57268356831823, 42.85154792220316)"
GIFFORD MEDICAL CENTER INC,E20,E,"44 S MAIN ST, RANDOLPH, VT, 05060-1381","(-72.6650578505099, 43.916612549999996)"
GODDARD COLLEGE CORPORATION,B42Z,B,"123 PITKIN RD, PLAINFIELD, VT, 05667-9432","(-72.43820282189729, 44.27951049115201)"
COPLEY HOSPITAL INC,E22,E,"528 WASHINGTON HWY, MORRISVILLE, VT, 05661-8973","(-72.5914164, 44.5536285)"
NORWICH UNIVERSITY,B430,B,"158 HARMON DR, NORTHFIELD, VT, 05663-1000","(-72.66126954642372, 44.139179049999996)"
SOUTHWESTERN VERMONT HEALTH CARE CORPORATION,E210,E,"100 HOSPITAL DR, BENNINGTON, VT, 05201-5004","(-73.20752191422895, 42.8736215)"
SPRINGFIELD HOSPITAL INC,E220,E,"25 RIDGEWOOD RD, SPRINGFIELD, VT, 05156-3050","(-72.49525820941415, 43.297846199999995)"
PROCTOR FREE LIBRARY,B71Z,B,"4 MAIN ST, PROCTOR, VT, 05765-1111","(-73.03289778691902, 43.661631400000005)"
VERMONT HISTORICAL SOCIETY,A82Z,A,"60 WASHINGTON ST, BARRE, VT, 05641-4209","(-72.49881918512828, 44.19595047571712)"
THE UNIVERSITY OF VERMONT HEALTH NETWORK-HOME HEALTH & HOSPICE INC,E92,E,"1110 PRIM RD, COLCHESTER, VT, 05446-6403","(-73.24595357585581, 44.53901573241981)"
BRANDON FREE PUBLIC LIBRARY INC,B71Z,B,"35 PARK ST, BRANDON, VT, 05733-1121","(-73.08426245833334, 43.798409791666664)"
KELLOGG HUBBARD LIBRARY,B71Z,B,"135 MAIN ST, MONTPELIER, VT, 05602-2909","(-72.57366290533304, 44.26106635)"
PORTER HOSPITAL INC HCSR,E22,E,"115 PORTER DR, MIDDLEBURY, VT, 05753-8423","(-73.16842298543847, 43.9998607)"
RUTLAND FREE LIBRARY ASSOCIATION INC T-A RUTLAND FREE LIBRARY,B71Z,B,"10 COURT ST, RUTLAND, VT, 05701-4024","(-72.97514556723115, 43.60726835)"
BENNINGTON FREE LIBRARY,B71Z,B,"101 SILVER ST, BENNINGTON, VT, 05201-2868","(-73.1935894, 42.8778668)"
ST JOHNSBURY ACADEMY,B250,B,"1000 MAIN ST, ST JOHNSBURY, VT, 05819-2347","(-72.02044146744649, 44.41440495)"
LYNDON INSTITUTE,B25Z,B,"168 INSTITUTE CIRCLE, LYNDON CENTER, VT, 05850-0000","(-72.01628563264556, 44.53870435)"
ST JOHNSBURY ATHENAEUM INC,A99Z,A,"1171 MAIN ST, ST JOHNSBURY, VT, 05819-2687","(-72.02147711835488, 44.418412700000005)"
ADDISON COUNTY FARM BUREAU ASSOCIATION INCORPORATED C/O CARLE,K28Z,K,"117 W MAIN ST, RICHMOND, VT, 05477-4451","(-72.9948575, 44.4061647)"
RUTLAND HOSPITAL INC,E220,E,"160 ALLEN ST, RUTLAND, VT, 05701-4560","(-72.95629209140625, 43.5977388)"
CAMP THORPE INC,N20Z,N,"680 CAPEN HILL RD, GOSHEN, VT, 05733-8446","(-73.0112502, 43.8561804)"
GOODRICH MEMORIAL LIBRARY INC,N20,N,"202 MAIN ST, NEWPORT, VT, 05855-5000","(-72.21020758049929, 44.9358004)"
FAIRBANKS MUSEUM AND PLANETARIUM,A500,A,"1302 MAIN ST, ST JOHNSBURY, VT, 05819-2248","(-72.02008359999999, 44.420227700000005)"
VERMONT FARM BUREAU INC,K28Z,K,"117 W MAIN ST, RICHMOND, VT, 05477-4451","(-72.9948575, 44.4061647)"
BENNINGTON MUSEUM INC,A540,A,"75 MAIN ST, BENNINGTON, VT, 05201-2827","(-73.21009054167268, 42.8832012)"
"NORTH COUNTRY HOSPITAL & HEALTH CENTER,INC",E220,E,"189 PROUTY DR, NEWPORT, VT, 05855-9326","(-72.20085711977765, 44.956507099999996)"
ROCK POINT SCHOOL,B252,B,"1 ROCK POINT RD, BURLINGTON, VT, 05408-2735","(-73.2376368701087, 44.49547485)"
GREATER BURLINGTON YOUNG MENS CHRISTIAN ASSOCIATION INC,P270,P,"298 COLLEGE ST, BURLINGTON, VT, 05401-8319","(-73.2078979, 44.4777639)"
AMERICAN LEGION,W30,W,"12 MAPLE ST, ST JOHNSBURY, VT, 05819-2272","(-72.01571940608066, 44.42019511231185)"
SHELDON ART MUSEUM ARCHAEOLOGICAL AND HISTORICAL SOCIETY,A540,A,"1 PARK ST, MIDDLEBURY, VT, 05753-1101","(-73.16997905928608, 44.01255275)"
TRUSTEES OF THE WOOD ART GALLERY,A510,A,"46 BARRE ST, MONTPELIER, VT, 05602-3508","(-72.57455218066629, 44.257680449999995)"
BOUTWELL MASONIC BUILDING ASSOCIATION INC,S47,S,"288 GALLISON HILL ROAD, MONTPELIER, VT, 05602-8947","(-72.53802254106495, 44.24359815)"
HUMANE SOCIETY OF CHITTENDEN COUNTY,D20,D,"142 KINDNESS CT, S BURLINGTON, VT, 05403-6753","(-73.21259631892907, 44.445261486265125)"
SHELBURNE NURSERY SCHOOL,B21Z,B,"30 CHURCH STREET, SHELBURNE, VT, 05482-0000","(-73.2279977, 44.3776754)"
WINDSOR PUBLIC LIBRARY,B71Z,B,"43 STATE ST, WINDSOR, VT, 05089-1213","(-72.38849544210561, 43.4803209)"
UNITED COUNSELING SERVICE OF BENNINGTON COUNTY INC,F320,F,"100 LEDGEHILL RD, BENNINGTON, VT, 05201-2273","(-73.204738, 42.872453)"
SOUTHWESTERN VERMONT CHAMBER OF COMMERCE INC,S41Z,S,"100 VETERANS MEMORIAL DR, BENNINGTON, VT, 05201-1938","(-73.1984606319189, 42.888994351866316)"
NORTHWESTERN COUNSELING & SUPPORT SERVICES INC,F320,F,"107 FISHER POND RD, ST ALBANS, VT, 05478-6286","(-73.068479, 44.8055982)"
RUTLAND MENTAL HEALTH SERVICE INC,F80Z,F,"78 S MAIN ST, RUTLAND, VT, 05701-4591","(-72.97102600000001, 43.60248716666666)"
COUNSELING SERVICE OF ADDISON COUNTY INC,F320,F,"89 MAIN ST, MIDDLEBURY, VT, 05753-1459","(-73.16949754735035, 44.011761699999994)"
BENNINGTON COUNTY HUMANE SOCIETY INC,D200,D,"1779 RTE 7A, ARLINGTON, VT, 05250-8885","(-73.1549311, 43.0724888)"
RUTLAND AREA ART ASSOCIATION,A510,A,"16 S MAIN ST, RUTLAND, VT, 05701-4136","(-72.97158242567801, 43.607780149999996)"
VERMONT CONGREGATIONAL HOME INC,P75Z,P,"4717 MAIN ST S, NEWBURY, VT, 05051-9711","(-72.0535064, 44.0819744)"
THE YWCA OF VERMONT INC,P27Z,P,"34 HOCHELAGA RD, SOUTH HERO, VT, 05486-4807","(-73.297296, 44.611674)"
KNIGHTS OF ST FRANCIS INC,X21,X,"2 MCKENZIE DR, WINDSOR, VT, 05089-1329","(-72.393551, 43.476433)"
THETFORD VOLUNTEER FIRE DEPARTMENT INC,M24,M,"2829 ROUTE 113, THETFORD CTR, VT, 05075-9067","(-72.2388987, 43.8257233)"
CAPSTONE COMMUNITY ACTION INC,P200,P,"20 GABLE PL, BARRE, VT, 05641-4138","(-72.5062571, 44.1997227)"
BROC-COMMUNITY ACTION IN SOUTHWESTERN VERMONT,S200,S,"45 UNION ST, RUTLAND, VT, 05701-3956","(-72.9827516, 43.60600205)"
SOUTHEASTERN VERMONT COMMUNITY ACTION INC,P20Z,P,"91 BUCK DR, WESTMINSTER, VT, 05158-9618","(-72.4467656, 43.0934859)"
AMERICAN PRECISION MUSEUM ASSOCIATION,A540,A,"196 MAIN ST, WINDSOR, VT, 05089-1312","(-72.38835329535974, 43.475922025684675)"
VERMONT COUNCIL ON THE ARTS INC,A260,A,"136 STATE ST, MONTPELIER, VT, 05633-0001","(-72.58312589042332, 44.26177532117331)"
BURR POND ASSOCIATION,C32,C,"127 APPLESEED RD, SUDBURY, VT, 05733-9655","(-73.1863768, 43.7614425)"
UNIVERSITY OF VERMONT MEDICAL CENTER INC,E22Z,E,"111 COLCHESTER AVE, BURLINGTON, VT, 05401-1473","(-73.19291916790445, 44.47849285)"
VERMONT LEGAL AID INC,I800,I,"264 N WINOOSKI AVE, BURLINGTON, VT, 05401-3621","(-73.20836255149288, 44.48713015)"
RESCUE INC,E62Z,E,"541 CANAL ST, BRATTLEBORO, VT, 05301-6624","(-72.56552928571428, 42.83824332653061)"
VERMONT SYMPHONY ORCHESTRA INC,A690,A,"2 CHURCH STREET, BURLINGTON, VT, 05401-4299","(-73.212587, 44.4801977)"
SUNRISE FAMILY RESOURCE CENTER INC,P400,P,"244 UNION ST, BENNINGTON, VT, 05201-2407","(-73.1899825620802, 42.876948284822525)"
VERMONT INTERFAITH ACTION INC,P20Z,P,"152 PEARL ST, BURLINGTON, VT, 05401-3703","(-73.21282224842685, 44.4810377)"
VERMONT NATURAL RESOURCES COUNCIL INC,C010,C,"11 BALDWIN ST, MONTPELIER, VT, 05602-2187","(-72.58335176866628, 44.2633399)"
CHITTENDEN COUNTY SENIOR CITIZENS ALLIANCE INC,S99Z,S,"14 HEINEBERG RD, BURLINGTON, VT, 05408-2511","(-73.24798415852993, 44.510094699999996)"
MARY JOHNSON CHILDRENS CENTER,P33Z,P,"81 WATER ST, WEYBRIDGE, VT, 05753-1494","(-73.21542738595052, 44.06681577368658)"
THE UNIVERSITY OF VERMONT HEALTH NETWORK MEDICAL GROUP INC,E32Z,E,"111 COLCHESTER AVE, BURLINGTON, VT, 05401-1473","(-73.19291916790445, 44.47849285)"
MONTESSORI SCHOOL OF CENTRAL VERMONT INC,B20,B,"84 PINE HILL RD, BARRE, VT, 05641-9074","(-72.498863, 44.2215668)"
HUNGER MOUNTAIN CHILDRENS CENTER INC,P33Z,P,"123 S MAIN ST, WATERBURY, VT, 05676-1515","(-72.75002737955174, 44.33130036265831)"
FARM & WILDERNESS FOUNDATION INC,N200,N,"401 FARM AND WILDERNESS RD, PLYMOUTH, VT, 05056-4438","(-72.7582022, 43.5735465)"
YELLOW BARN INC,A68Z,A,"63 MAIN ST, PUTNEY, VT, 05346-8318","(-72.52242157881189, 42.9707986287623)"
CHILD AND ADOLESCENT PSYCHOLOGY TRAINING & RESEARCH INC,F00B,F,"2 COLCHESTER AVE, BURLINGTON, VT, 05405-1764","(-73.200423, 44.480816)"
ORANGE EAST SENIOR CENTER INC,L52Z,L,"476 WAITS RIVER RD, BRADFORD, VT, 05033-0000","(-72.12035869326547, 43.981514627016445)"
SHELBURNE FARMS,C600,C,"1611 HARBOR RD, SHELBURNE, VT, 05482-7697","(-73.24752611530857, 44.407639867828344)"
BRANDON SENIOR CITIZENS CENTER INC,P81Z,P,"1591 FOREST DALE RD, BRANDON, VT, 05733-8865","(-73.06164531931944, 43.81895527171898)"
WINSTON PROUTY CENTER FOR CHILD AND FAMILY DEVELOPMENT INC,B22Z,B,"209 AUSTINE DRIVE, BRATTLEBORO, VT, 05301-7223","(-72.5757158, 42.8434898)"
POULTNEY COMMUNITY LEAGUE INC,O20Z,O,"648 VT RT 31, POULTNEY, VT, 05764-9608","(-73.2353604, 43.507745)"
METTOWEE VALLEY & NORTHEAST CEMETERY ASSOCIATION,Y50,Y,"770 ROUTE 100 NORTH, WILMINGTON, VT, 05363-0000","(-72.8428941925552, 42.91026862521336)"
LATCHIS ARTS INC,A610,A,"50 MAIN ST, BRATTLEBORO, VT, 05301-3248","(-72.557758, 42.851365)"
TUTORIAL CENTER,B61Z,B,"208 PLEASANT ST, BENNINGTON, VT, 05201-2526","(-73.1946645654615, 42.87917211223011)"
ST JOHNSBURY SR CITIZEN CTR,P81,P,"1207 MAIN STREET, ST JOHNSBURY, VT, 05819-2814","(-72.02106050328445, 44.41897933010574)"
GREEN MOUNTAIN VALLEY SCHOOL INC,B25Z,B,"271 MOULTON RD, WAITSFIELD, VT, 05673-7070","(-72.85269193029109, 44.1853277)"
CHILDRENS DAY CARE CENTER INC,P33Z,P,"6307 MAIN ST, WAITSFIELD, VT, 05673-6295","(-72.837449, 44.179246)"
FRANKLIN COUNTY SENIOR CENTER INC,K36,K,"75 MESSENGER ST, SAINT ALBANS, VT, 05478-1522","(-73.0793608, 44.818776400000004)"
OAK HILL CHILDRENS CENTER,B22Z,B,"72 SCHOOLHOUSE RD, POWNAL, VT, 05261-9660","(-73.21889154366941, 42.80113753525821)"
ORANGE COUNTY PARENT CHILD CENTER INC,P33,P,"693 VT ROUTE 110, TUNBRIDGE, VT, 05077-9596","(-72.4853438, 43.9033758)"
VERMONT PSYCHOLOGICAL SERVICES LEITENBERG CENTER FOR EVIDENCE,F32Z,F,"2 COLCHESTER AVE, BURLINGTON, VT, 05405-1764","(-73.200423, 44.480816)"
SPECTRUM INC,P400,P,"31 ELMWOOD AVE, BURLINGTON, VT, 05401-4347","(-73.21396594618778, 44.4813611)"
LONG TRAIL SCHOOL INC,B250,B,"1045 KIRBY HOLLOW RD, DORSET, VT, 05251-9776","(-73.09947895776259, 43.269668100000004)"
