NAME,NTEE_CD,Category,Location,lat_lon
DOCUFILMS,A31,A,"1329 BISHOPS LODGE RD, SANTA FE, NM, 87506-0020","(-105.9356915, 35.6924984)"
ALBUQUERQUE FREE STORE,W99,W,"7320 TRICIA RD NE, ALBUQUERQUE, NM, 87113-1795","(-106.56357115151515, 35.18105666666666)"
ALMOST HOME NEW MEXICO,D01,D,"16 QUAIL RUN DR, PERALTA, NM, 87042-8878","(-106.673927, 34.825191)"
LITTLE FARM ON THE HILL,B90,B,"2738 WALNUT ST, LOS ALAMOS, NM, 87544-2576","(-106.30586764552343, 35.89177533043316)"
NEW MEXICO STATE TEACHERS OF THE YEAR,B03,B,"8101 KRIM DR NE, ALBUQUERQUE, NM, 87109-5223","(-106.55733, 35.170169)"
FORWARD FLAG WELLNESS CENTER,W30,W,"204 MADEIRA DR NE, ALBUQUERQUE, NM, 87108-1505","(-106.5843230612245, 35.07887516326531)"
FRIENDS OF THE NAMBE BADLANDS,C30,C,"20 LOMA BLANCA, SANTA FE, NM, 87506-2671","(-105.98977176683944, 35.91408405375775)"
KROSSROADS INTEGRATIVE HEALTH AND RECOVERY SOLUTIONS INC,F30,F,"6 CALLE MEDICO, SANTA FE, NM, 87505-4761","(-105.94110385339728, 35.65765301023864)"
ENCANTADO SANDIA FOUNDATION,T20,T,"2321 CALLE COLIBRI, SANTA FE, NM, 87505-6339","(-105.942031, 35.640578)"
MINISTERIO EN VICTORIA,F20,F,"800 W PICACHO AVE, LAS CRUCES, NM, 88005-2236","(-106.790591, 32.314718)"
SISU DANCE COMPANY,A62,A,"1431 SONORA RD NE, RIO RANCHO, NM, 87144-7738","(-106.61496768181388, 35.28193417455613)"
COASTAL SEVA FOUNDATION,E70,E,"2921 CAMINO DEL BOSQUE, SANTA FE, NM, 87507-5326","(-105.9911739, 35.6411659)"
BREATH OF LIFE MINISTRIES OF LAS CRUCES,F60,F,"925 HESS TER, LAS CRUCES, NM, 88005-2190","(-106.78678508009875, 32.31648554796415)"
RIO GRANDE PHYSIOLOGICAL SOCIETY,E03,E,"3501 ARROWHEAD DR, LAS CRUCES, NM, 88001-6056","(-106.73736832588006, 32.27787005)"
SMOOVE KICKS INC,O12,O,"3535 NORTHPOINTE DR, LAS CRUCES, NM, 88012-8516","(-106.7699688, 32.3581658)"
NEW MEXICO MUSIC HALL OF FAME,A68,A,"5413 LOMAS BLVD NE, ALBUQUERQUE, NM, 87110-6457","(-106.58464042857143, 35.087479)"
CANYON OFF ROAD ASSOCIATION,C34,C,"602 E 39TH ST, FARMINGTON, NM, 87401-2308","(-108.19684321162421, 36.76317158433225)"
PACKAGES OF COMFORT,E60,E,"1074 HIGHLAND WAY, SANTA FE, NM, 87507-9162","(-106.0421983206559, 35.6428008329598)"
KIT CARSON HOUSE INC,A80,A,"113 KIT CARSON RD, TAOS, NM, 87571-5949","(-105.572244, 36.4070361)"
INDIGENOUS CATHOLIC RESEARCH FELLOWSHIP,B05,B,"104 E AZTEC AVE, GALLUP, NM, 87301-6256","(-108.74058946858071, 35.526668647756175)"
EXPLORE ACADEMY LAS CRUCES FOUNDATION,B11,B,"5100 MASTHEAD ST NE, ALBUQUERQUE, NM, 87109-4366","(-106.58789085101378, 35.16442390860399)"
WORD OF LIFE FELLOWSHIP INC,X20,X,"907 CALLE JOSE DE LA CRUZ, ESPANOLA, NM, 87532-3548","(-106.08710647967264, 36.00438025027059)"
PRESENTATION STYLE INC,O50,O,"7816 WILLIAM MOYERS AVE NE, ALBUQUERQUE, NM, 87122-2743","(-106.55628449781433, 35.18485825926249)"
ALL NATIONS INDIAN BAPTIST CHURCH,X20,X,"3010 23RD AVE SE, RIO RANCHO, NM, 87124-1620","(-106.67673182631815, 35.21853853293791)"
