NAME,NTEE_CD,Category,Location,lat_lon
SALEM MENNONITE HOME FOR THE AGED,P75Z,P,"106 W 7TH ST, FREEMAN, SD, 57029-2319","(-97.43759533333333, 43.348519333333336)"
SOUTHEASTERN BEHAVIORAL HEALTHCARE,F300,F,"2000 S SUMMIT AVE, SIOUX FALLS, SD, 57105-2727","(-96.73614, 43.527133)"
BETHANY LUTHERAN HOME,E910,E,"1901 S HOLLY AVE, SIOUX FALLS, SD, 57105-2407","(-96.75435308333334, 43.528469333333334)"
AVERA GETTYSBURG,E22Z,E,"606 E GARFIELD AVE, GETTYSBURG, SD, 57442-1325","(-99.94612659695031, 45.01297385)"
NORTH AMERICAN BAPTIST SEMINARY,X20,X,"2100 S SUMMIT AVE, SIOUX FALLS, SD, 57105-2729","(-96.736135, 43.525847)"
SISSETON CEMETERY ASSN,Y50,Y,"211 JAMIE CIR, SISSETON, SD, 57262-2406","(-97.0390836868687, 45.6621574949495)"
CENTRAL STATES FAIR,B82Z,B,"800 SAN FRANCISCO ST, RAPID CITY, SD, 57701-3057","(-103.20101, 44.075144)"
PLATTE COMMUNITY MEMORIAL HOSPITAL INC,E20Z,E,"601 E 7TH ST, PLATTE, SD, 57369-2123","(-98.83600883622462, 43.3845441)"
SIOUX FALLS HUMANE SOCIETY,D200,D,"3720 E BENSON RD, SIOUX FALLS, SD, 57104-9610","(-96.7285644, 43.5874532)"
ARROWHEAD COUNTRY CLUB,N51Z,N,"3675 SHERIDAN LAKE RD, RAPID CITY, SD, 57702-5200","(-103.26496116202557, 44.04990975)"
JENKINS LIVING CENTER INC,P750,P,"215 S MAPLE, WATERTOWN, SD, 57201-4316","(-97.1141875, 44.8972844)"
GIRL SCOUTS DAKOTA HORIZONS INC,O42,O,"1101 S MARION RD, SIOUX FALLS, SD, 57106-3466","(-96.79102513464534, 43.536925907916235)"
HUTCHINSON COUNTY POST 3298 VETERANS OF FOREIGN WARS OF THE,W30,W,"504 S WALLACE ST, PARKSTON, SD, 57366-2293","(-97.99136459183674, 43.39047118367347)"
NORTHEASTERN MENTAL HEALTH CENTER,F32Z,F,"14 S MAIN ST, ABERDEEN, SD, 57401-4172","(-98.48835722086275, 45.46456085)"
KNIGHTS OF COLUMBUS,S82Z,S,"900 S WESTERN AVE, SIOUX FALLS, SD, 57104-4514","(-96.75111461052632, 43.53764257894737)"
MOBRIDGE REGIONAL HOSPITAL,E22,E,"1401 10TH AVE W, MOBRIDGE, SD, 57601-1106","(-100.4496518286856, 45.54637185)"
BETHEL LUTHERAN HOME,P750,P,"1001 S EGAN AVE, MADISON, SD, 57042-3336","(-97.11410061586822, 43.99432459711302)"
DOW RUMMEL VILLAGE,P750,P,"1321 W DOW RUMMEL ST, SIOUX FALLS, SD, 57104-7808","(-96.74563849494949, 43.55996539393939)"
UNITED RETIREMENT CENTER,P700,P,"405 1ST AVE, BROOKINGS, SD, 57006-1835","(-96.80377280808081, 44.30970024242424)"
