NAME,NTEE_CD,Category,Location,lat_lon
ENDERTA REGIONAL DEVELOPMENT ASSOCIATION NONPROFIT,B90,B,"PO BOX 111706, AURORA, CO, 80042-1706","(-88.3147539, 41.7571701)"
ASSOCIATION OF AMERICAN EDUCATORS,S41,S,"9800 MT PYRAMID CT STE 400, ENGLEWOOD, CO, 80112-2669","(-104.9879641, 39.6482059)"
CANYON CARES OF COAL CREEK CANYON,P122,P,"PO BOX 7392, GOLDEN, CO, 80403-0103","(-105.22058, 39.7546349)"
LIBERTY ON THE ROCKS,W012,W,"4696 S SIMMS CT, MORRISON, CO, 80465-9677","(-92.6747299, 42.3420595)"
CHRIST THE KING RADIO MINISTRIES,X99,X,"1801 W 92ND AVE LOT 104, FEDERAL HGTS, CO, 80260-5323","(-105.015631, 39.8591279)"
HELP THY NEIGHBOR INC,P99,P,"202 NEWARK ST, AURORA, CO, 80010-4720","(-104.85595796969697, 39.71897271717172)"
NEHEMIAH GLOBAL FOUNDATION,K30,K,"3220 S ONEIDA WAY, DENVER, CO, 80224-2830","(-104.9062973, 39.65802326666667)"
COLUMBINE GARDEN CLUB,S20,S,"PO BOX 1030, IDAHO SPRINGS, CO, 80452-1030","(-105.5136365, 39.7425969)"
BOULDER CYCLING CLUB,N60,N,"4134 AMBER ST, BOULDER, CO, 80304-0956","(-105.262168, 40.050519)"
COLORADO ADVISORY COUNCIL ON MILTARY EDUCATION,W30,W,"545 3RD ST, MONUMENT, CO, 80132-4500","(-104.86520104588486, 39.09356476012526)"
HI MOM I AM HOME AGENCY,P30,P,"2600 S PARKER RDBLDG 2 SUITE 226, AURORA, CO, 80014-0000","(-88.3147539, 41.7571701)"
WESTERN STATES BAPTIST CONVENTIONS,X20,X,"933 E 24TH AVE, DENVER, CO, 80205-5114","(-104.97531393853207, 39.752062863386044)"
GOOD NEWS INC,P12,P,"4798 S ROUTT CT, LITTLETON, CO, 80127-1087","(-105.016649, 39.613321)"
VILLAGE HEALTH PARTNERSHIP,E40,E,"1011 SOUTH VALENTIA, DENVER, CO, 80247-6812","(-104.89239159537038, 39.69870025)"
VALLECITO CONSERVATION AND SPORTING ASSOCIATION,N67,N,"PO BOX 948, BAYFIELD, CO, 81122-0948","(-90.8182329, 46.8107645)"
ALLIANCE,P99,P,"1410 N GRANT ST STE B305, DENVER, CO, 80203-1855","(-104.984862, 39.7392364)"
M M & M FOUNDATION,T20,T,"49450 ROUTE COUNTY ROAD 129, STEAMBOAT SPRINGS, CO, 80487-0000","(-106.8317359, 40.4848003)"
HEARTWOOD COLLEGE OF ART INC,A250,A,"1340 US HIGHWAY 287 STE 100, BROOMFIELD, CO, 80020-2224","(-105.05208, 39.9403995)"
BRIAH DANSE,A62,A,"10305 W ILIFF AVE, LAKEWOOD, CO, 80227-2022","(-105.11287171201647, 39.67532942025678)"
COLORADO VIPER CLUB,N50,N,"71 SILVER CIR, BRECKENRIDGE, CO, 80424-8953","(-106.04127407076076, 39.52338895992097)"
CROWN OF LIFE LUTHERAN CHURCH,X21,X,"145 S ABARR DR, PUEBLO WEST, CO, 81007-0000","(-104.7112109849374, 38.3558615)"
SUMMITWEST CARE,E92,E,"2800 PRINTERS WAY SUITE 200, GRAND JUNCTION, CO, 81506-3944","(-108.5507317, 39.063956)"
ABILITY CONSULTANTS,P82,P,"419 SOUTH CEDAR STREET, CORTEZ, CO, 81321-3462","(-108.5939716, 37.3434615)"
GALILEE SOUTH COMMUNITY CHURCH,X21,X,"6114 S DATURA ST, LITTLETON, CO, 80120-2638","(-105.0038250596678, 39.60557505)"
ENERGIZE INTERNATIONAL INC,X20,X,"2575 S SYRACUSE WAY APT A304, DENVER, CO, 80231-3877","(-104.984862, 39.7392364)"
ROCKY MOUNTAIN WORKFORCE DEVELOPMENT ASSOCIATION INC,S30,S,"6964 S LIMA ST, CENTENNIAL, CO, 80112-3881","(-104.85577111419303, 39.589968049999996)"
PROJECT PUEBLO,J30,J,"2097 W WOODSTOCK CT, PUEBLO WEST, CO, 81007-2279","(-104.7112109849374, 38.3558615)"
COLORADO AGRICULTURAL LEADERSHIP FOUNDATION INC,B99,B,"PO BOX 581, CASTLE ROCK, CO, 80104-0581","(-104.8586826, 39.3722552)"
PAROLE EMPLOYEE COUNCIL,S80,S,"940 N BROADWAY, DENVER, CO, 80203-2706","(-104.9874073, 39.7328098)"
4 THE CHILDREN,I80,I,"129 COUNTY ROAD 250, DURANGO, CO, 81301-8530","(-107.82158179169292, 37.2395367)"
HARVEST FELLOWSHIP CHURCH,X21,X,"14951 E 112TH AVE, BRIGHTON, CO, 80603-6900","(-104.8466478, 39.8997544)"
DEVELOPMENTAL FX-THE DEVELOPMENTAL & FRAGILE X RESOURCE CENTRE,G80,G,"3615 MARTIN LUTHER KING BLVD, DENVER, CO, 80205-4976","(-104.984862, 39.7392364)"
YWAM FOUNDATION INC,X12,X,"12750 W 63RD AVE, ARVADA, CO, 80004-3867","(-105.14181186378472, 39.8105978)"
WORLD ADVOCATES INC,Q33,Q,"12650 W 64TH AVE UNIT E, ARVADA, CO, 80004-3887","(-105.0811573, 39.8005505)"
SOUTHERN COLORADO RETAC INC,E02,E,"PO BOX 9271, PUEBLO, CO, 81008-9271","(-104.609141, 38.2544472)"
CONSTRUCTION MANAGEMENT ASSOCIATION OF AMERICA INC,S41,S,"8181 ARISTA PL UNIT 400, BROOMFIELD, CO, 80021-4865","(-105.05208, 39.9403995)"
FLAGSTAFF ACADEMY INC,B29,B,"2040 MILLER DR, LONGMONT, CO, 80501-6748","(-105.12733109174023, 40.1407122)"
CROSS CHURCH OF LOVELAND,X21,X,"6312 BURGUNDY ST, EVANS, CO, 80634-8921","(-104.78134044921156, 40.38458056115805)"
NATIONAL CHARITY LEAGUE COLORADO FOOTHILLS CHAPTER,T50,T,"PO BOX 3096, EVERGREEN, CO, 80437-3096","(-86.95675139521086, 31.44953845)"
GRASSROOTS ASIA,Q33,Q,"PO BOX 560, SOMERSET, CO, 81434-0560","(-98.6577985, 29.2263504)"
C B AVALANCHE CENTER INC,M20,M,"PO BOX 2351, CRESTED BUTTE, CO, 81224-2351","(-106.984043, 38.8698201)"
PROSPECT VALLEY HOSPITALITY INC,T19,T,"10400 W 38TH AVE, WHEAT RIDGE, CO, 80033-4010","(-105.11450415277778, 39.76921473611111)"
RIVER OF GRACE BAPTIST CHURCH,X20,X,"84 S MASTERS DRIVE, PUEBLO WEST, CO, 81007-5600","(-104.7112109849374, 38.3558615)"
CITIZENS POLICE ACADEMY ALUMNI ASSOCIATION OF NORTHGLENN INC,I20,I,"50 W COMMUNITY CENTER DR, NORTHGLENN, CO, 80234-3308","(-104.9965491, 39.8996973)"
COLORADO ALLIANCE FOR HEALTH EQUITY AND PRACTICE,E70,E,"5250 LEETSDALE DR STE 110, DENVER, CO, 80246-1450","(-104.984862, 39.7392364)"
TRANSPLANT FOUNDATION INC,E60,E,"600 17TH ST STE 2515S, DENVER, CO, 80202-5409","(-104.984862, 39.7392364)"
GLOBAL ORPHAN RELIEF,Q33,Q,"16352 PRAIRIE FARM CIR, PARKER, CO, 80134-3050","(-104.801761, 39.506277)"
CENTER OF HOPE,P40,P,"5303 W KENTUCKY AVE, LAKEWOOD, CO, 80226-4836","(-105.05547507070708, 39.70050991919192)"
COLORADO CIVIC ENGAGEMENT ROUNDTABLE,R26,R,"PO BOX 1620, DENVER, CO, 80201-1620","(-104.984862, 39.7392364)"
WILLARD FIRE DEPARTMENT,M24,M,"10261 COUNTY ROAD 11, MERINO, CO, 80741-9437","(-71.4647812, 41.8212111)"
DENVER CITY LAX,N40,N,"1106 COLUMBINE ST, DENVER, CO, 80206-3107","(-104.95734514285715, 39.733893836734694)"
TRANSFORMATION PROJECT PRISON MINISTRY,X20,X,"PO BOX 461168, AURORA, CO, 80046-1168","(-88.3147539, 41.7571701)"
BJB CHARITABLE ACCOUNT,T22,T,"921 WALNUT ST STE 200, BOULDER, CO, 80302-5173","(-105.270545, 40.0149856)"
