NAME,NTEE_CD,Category,Location,lat_lon
UNITED EMMAUS COMMUNITY INC,X99,X,"801B SUNSET DR, JOHNSON CITY, TN, 37604-3033","(-82.3862137, 36.3355045)"
J E W MINISTRIES,P20,P,"378 E TRIGG AVE, MEMPHIS, TN, 38106-4216","(-90.04971096894336, 35.112358936420755)"
WORKERS INTERFAITH NETWORK,P20,P,"1870 MADISON AVE, MEMPHIS, TN, 38104-2620","(-89.99889689924967, 35.13768772400248)"
DISCIPLING MEN INC,X99,X,"8726 PEPPER BUSH LN, GERMANTOWN, TN, 38139-4427","(-89.77190320082028, 35.096205521510136)"
NASHVILLE INTERNATIONAL CENTER FOR EMPOWERMENT,A23,A,"417 WELSHWOOD DR, NASHVILLE, TN, 37211-4209","(-86.72880913591128, 36.082422040656105)"
TRANSFORMATION CHURCH OF TENNESSEE,X20,X,"315 CORPORATE DR, KNOXVILLE, TN, 37923-4610","(-84.0831937, 35.9224806)"
PIGEON FORGE HIGH SCHOOL BAND BOOSTERS,B112,B,"414 TIGER DR, PIGEON FORGE, TN, 37863-4210","(-83.5879951, 35.8043866)"
WILSON COUNTY TEEN COURT,I50,I,"224 W GAY ST, LEBANON, TN, 37087-3519","(-86.29411385154373, 36.20704193375995)"
INTERNATIONAL GOSPEL MINISTRY,X21,X,"4988 EDMONDSON PIKE, NASHVILLE, TN, 37211-4706","(-86.73220828405566, 36.07311391739501)"
NORTH EDGEFIELD ORGANIZED NEIGHBORS CDC,S20,S,"914 MERIDIAN ST, NASHVILLE, TN, 37207-5759","(-86.76811509096613, 36.18723784950044)"
UNITED STATES BOWLING CONGRESS INC,N70,N,"219A MILNER ST, NEWBERN, TN, 38059-1347","(-89.2557331, 36.1110877)"
WTC FOUNDATION,T21,T,"2046 FRANSWORTH DR, NASHVILLE, TN, 37205-2700","(-86.863185, 36.122275)"
DUCKS UNLIMITED INC,C32Z,C,"1 WATERFOWL WAY, MEMPHIS, TN, 38120-2350","(-89.8080439, 35.1308209)"
PATHWAY COLLECTIVE LTD,O55,O,"1203 HOMEWOOD CT, FRANKLIN, TN, 37067-5897","(-86.78518097997355, 35.926881386737215)"
CHI PSI EDUCATIONAL TRUST INC,B11,B,"45 RUTLEDGE ST, NASHVILLE, TN, 37210-2042","(-86.76969710558974, 36.15539544946967)"
OAK RIDGE ECONOMIC PARTNERSHIP,S40,S,"1400 OAK RIDGE TPKE, OAK RIDGE, TN, 37830-6214","(-84.2585707053563, 36.014785)"
PARENT TEACHER ORGANIZATION OF RAVENWOOD HIGH SCHOOL INC,T20,T,"1724 WILSON PIKE, BRENTWOOD, TN, 37027-8105","(-86.76547983810036, 35.95685825)"
MCNAIRY HILL UPB CHURCH,X20,X,"2208 HERMOSA ST, NASHVILLE, TN, 37208-3239","(-86.81052569954969, 36.163494357843284)"
BRIDE OF CHRIST CHURCH,X21,X,"1913 ROSEBANK AVE, NASHVILLE, TN, 37216-4217","(-86.704486, 36.198038)"
CERVICAL CANCER COALITION OF TENNESSEE,G30,G,"1000 HALCYON AVE, NASHVILLE, TN, 37204-2528","(-86.786671, 36.122422)"
MARVELOUSWORKS MINISTRIES,X20,X,"4622 TERRA VISTA DR, CHATTANOOGA, TN, 37416-2618","(-85.18421337958242, 35.08584280381701)"
INTERNATIONAL LEAGUE FOR MUSLIM WOMEN INC,P20,P,"4412 S 3RD ST, MEMPHIS, TN, 38109-5218","(-90.054885, 35.1250516)"
AFRICAN AMERICAN FELLOWSHIP OF TENNESSEE BAPTIST CONVENTION,X21,X,"2210 CHARJEAN RD, MEMPHIS, TN, 38114-5305","(-89.98238348640672, 35.08450403647935)"
CHILDREN OF HOPE INC,O50,O,"1091 OLD WITT RD, MORRISTOWN, TN, 37813-3720","(-83.2807229, 36.15403)"
INFLUENCE 1,B19,B,"665 MADISON AVE, MEMPHIS, TN, 38103-3307","(-90.03870162165185, 35.14132818600529)"
NEW LIFE LIGHTHOUSE DELIVERANCE TEMPLE,X21,X,"86 W WINDSOR RD, MEMPHIS, TN, 38109-7461","(-90.065264, 34.9990995)"
DOROTHYS DOLL DEMESNE INC NFP,A50,A,"3215 COLES FERRY PIKE, LEBANON, TN, 37087-9422","(-86.31440420214999, 36.24981998345085)"
HOUSTON CROSS COUNTRY-TRACK BOOSTER CLUB,B11,B,"9755 WOLF RIVER BLVD, GERMANTOWN, TN, 38139-5557","(-89.7374087, 35.0947152)"
TULLAHOMA MIDDLE SCHOOL BASEBALL ASSOCIATION,N11,N,"510 S JACKSON ST, TULLAHOMA, TN, 37388-3468","(-86.2070782301738, 35.35673282417065)"
ACADEMIC AND COMMUNITY EXCELLENCE INCORPORATED,B60,B,"1485 GAUSCO RD, MEMPHIS, TN, 38106-8211","(-90.0127938780164, 35.08030454093118)"
TRINITY PARENT TEACHER ORGANIZATION,B112,B,"4410 MURFREESBORO RD, FRANKLIN, TN, 37067-7814","(-86.8205668, 35.9132694)"
AMERICAN IRIS SOCIETY,K20,K,"6571 SWARTHMORE DR, MEMPHIS, TN, 38119-7743","(-89.84458005697411, 35.079593)"
DISCOVER MADISON INC,A54,A,"303 MADISON ST, MADISON, TN, 37115-3666","(-86.71438923010295, 36.25846989222353)"
